#Grid-Scan using Optidos
#Timet: 13-11-18-13:12:31
#Unit: Gy
#Duration: 5 s
#
#Aufloesung:
#  0 besser als 0.5%
#  1 zwischen 0.5% und 1%
#  2 schlechter als 1%
#Meﬂbereich:
#  0 Low
#  1 High
#
x[mm];y[mm];z[mm];Value;Resolution;Range
24.4;26.1;0.3;0.006218;0;0
24.4;26.1;0.6;0.005122;0;0
24.4;26.1;0.9;0.004171;0;0
24.4;26.1;1.2;0.00332;0;0
24.4;26.1;1.5;0.002631;0;0
24.4;26.1;1.8;0.002059;0;0
24.4;26.1;2.1;0.001593;0;0
24.4;26.1;2.4;0.001211;0;0
24.4;26.1;2.7;0.000913;1;0
24.4;26.1;3;0.000661;1;0
24.4;26.1;3.3;0.000482;2;0
24.4;26.1;3.6;0.00034;2;0
24.4;26.1;3.9;0.000239;2;0
24.4;26.1;4.2;0.000163;2;0
24.4;26.1;4.5;0.00011;2;0
24.4;26.1;4.8;0.000071;2;0
24.4;26.1;5.1;0.000043;2;0
24.4;26.1;5.4;0.000029;2;0
24.4;26.1;5.7;0.000019;2;0
24.4;26.1;6;0.00001;2;0
25.4;26.1;6;0.000018;2;0
25.4;26.1;5.7;0.00003;2;0
25.4;26.1;5.4;0.000043;2;0
25.4;26.1;5.1;0.000066;2;0
25.4;26.1;4.8;0.000107;2;0
25.4;26.1;4.5;0.000162;2;0
25.4;26.1;4.2;0.000243;2;0
25.4;26.1;3.9;0.000352;2;0
25.4;26.1;3.6;0.000516;1;0
25.4;26.1;3.3;0.000726;1;0
25.4;26.1;3;0.001013;0;0
25.4;26.1;2.7;0.001401;0;0
25.4;26.1;2.4;0.001898;0;0
25.4;26.1;2.1;0.002523;0;0
25.4;26.1;1.8;0.003357;0;0
25.4;26.1;1.5;0.00438;0;0
25.4;26.1;1.2;0.005694;0;0
25.4;26.1;0.9;0.007357;0;0
25.4;26.1;0.6;0.009459;0;0
25.4;26.1;0.3;0.01215;0;0
25.4;26.1;0;0.01545;0;0
26.4;26.1;0;0.02268;0;0
26.4;26.1;0.3;0.01723;0;0
26.4;26.1;0.6;0.0132;0;0
26.4;26.1;0.9;0.01003;0;0
26.4;26.1;1.2;0.007624;0;0
26.4;26.1;1.5;0.005786;0;0
26.4;26.1;1.8;0.004365;0;0
26.4;26.1;2.1;0.003253;0;0
26.4;26.1;2.4;0.002407;0;0
26.4;26.1;2.7;0.001771;0;0
26.4;26.1;3;0.00129;0;0
26.4;26.1;3.3;0.000924;1;0
26.4;26.1;3.6;0.000638;1;0
26.4;26.1;3.9;0.000444;2;0
26.4;26.1;4.2;0.000308;2;0
26.4;26.1;4.5;0.000205;2;0
26.4;26.1;4.8;0.000132;2;0
26.4;26.1;5.1;0.000081;2;0
26.4;26.1;5.4;0.000054;2;0
26.4;26.1;5.7;0.000032;2;0
26.4;26.1;6;0.00002;2;0
27.4;26.1;6;0.00002;2;0
27.4;26.1;5.7;0.00003;2;0
27.4;26.1;5.4;0.000049;2;0
27.4;26.1;5.1;0.000077;2;0
27.4;26.1;4.8;0.000124;2;0
27.4;26.1;4.5;0.000197;2;0
27.4;26.1;4.2;0.000299;2;0
27.4;26.1;3.9;0.000435;2;0
27.4;26.1;3.6;0.000625;1;0
27.4;26.1;3.3;0.000905;1;0
27.4;26.1;3;0.00124;0;0
27.4;26.1;2.7;0.001724;0;0
27.4;26.1;2.4;0.002337;0;0
27.4;26.1;2.1;0.003143;0;0
27.4;26.1;1.8;0.004216;0;0
27.4;26.1;1.5;0.005598;0;0
27.4;26.1;1.2;0.007418;0;0
27.4;26.1;0.9;0.009733;0;0
27.4;26.1;0.6;0.01286;0;0
27.4;26.1;0.3;0.01688;0;0
27.4;26.1;0;0.02224;0;0
28.4;26.1;0;0.01474;0;0
28.4;26.1;0.3;0.01167;0;0
28.4;26.1;0.6;0.009184;0;0
28.4;26.1;0.9;0.007151;0;0
28.4;26.1;1.2;0.005572;0;0
28.4;26.1;1.5;0.004281;0;0
28.4;26.1;1.8;0.003272;0;0
28.4;26.1;2.1;0.00247;0;0
28.4;26.1;2.4;0.001848;0;0
28.4;26.1;2.7;0.001371;0;0
28.4;26.1;3;0.001001;0;0
28.4;26.1;3.3;0.000727;1;0
28.4;26.1;3.6;0.000507;1;0
28.4;26.1;3.9;0.000359;2;0
28.4;26.1;4.2;0.00024;2;0
28.4;26.1;4.5;0.000157;2;0
28.4;26.1;4.8;0.000105;2;0
28.4;26.1;5.1;0.000071;2;0
28.4;26.1;5.4;0.000043;2;0
28.4;26.1;5.7;0.000025;2;0
28.4;26.1;6;0.000017;2;0
29.4;26.1;6;0.00001;2;0
29.4;26.1;5.7;0.00002;2;0
29.4;26.1;5.4;0.000027;2;0
29.4;26.1;5.1;0.000045;2;0
29.4;26.1;4.8;0.00007;2;0
